"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Pressure"	"Temperature"	"Mach"	"C<sub>p</sub>"
53	4.331099987030000e-01	-5.659141825851464e-02	8.782910493716155e-01	9.788701824761870e-01	4.666806320051069e-02	2.633023970600116e+00	8.345201815904044e-01	9.501635957550434e-01	9.674230605914287e-01	-3.693745946642759e-01	
54	4.174999892710000e-01	-5.729416860686566e-02	8.749000044822191e-01	9.790570112896132e-01	4.239892385118089e-02	2.624064179120003e+00	8.300919431809540e-01	9.487849341962422e-01	9.718707503023603e-01	-3.792590553996562e-01	
55	4.019699990750000e-01	-5.792324246601335e-02	8.746164825875570e-01	9.788779786446937e-01	3.725248686429941e-02	2.623191268633696e+00	8.298455079337467e-01	9.488107352821035e-01	9.717875957802664e-01	-3.798091340764583e-01	
56	3.865399956700000e-01	-5.847520956655861e-02	8.746710005553812e-01	9.788194725286203e-01	3.130623767379544e-02	2.623249925963325e+00	8.300020538636833e-01	9.489305731374030e-01	9.714012401993903e-01	-3.794597011971355e-01	
57	3.712300062180000e-01	-5.894684318665333e-02	8.678756986250136e-01	9.796164768116546e-01	2.555522602397580e-02	2.605516458142334e+00	8.209072629189098e-01	9.458811489012583e-01	9.812145405172694e-01	-3.997605738417192e-01	
58	3.560400009160000e-01	-5.933561549045978e-02	8.473379159069058e-01	9.809632396995579e-01	2.143587840230887e-02	2.551842862588627e+00	7.934964287990478e-01	9.364580693285379e-01	1.011326927308579e+00	-4.609454714306969e-01	
59	3.409900069240000e-01	-5.963847719943702e-02	8.167263760869532e-01	9.804380055882207e-01	1.848545764139759e-02	2.471399922602675e+00	7.530832113163645e-01	9.220752915125486e-01	1.056753086805724e+00	-5.511535461688294e-01	
60	3.261100053790000e-01	-5.985254444802346e-02	7.923370727435934e-01	9.770937337736518e-01	1.316964067135740e-02	2.406587939356943e+00	7.216050291389573e-01	9.107298572314495e-01	1.092211867636259e+00	-6.214173456719704e-01	
61	3.113999962810000e-01	-5.997565198183213e-02	7.824211007748749e-01	9.746363826239226e-01	6.274004292284772e-03	2.379906250772723e+00	7.091379035482624e-01	9.063379078682363e-01	1.105864642933440e+00	-6.492457510083428e-01	
62	2.968699932100000e-01	-6.000550062925582e-02	7.823467913824262e-01	9.741350748360913e-01	-7.582312393174566e-04	2.379527698410778e+00	7.092230789038684e-01	9.065328658799171e-01	1.105259386692888e+00	-6.490556274467224e-01	
63	2.825500071050000e-01	-5.994005483718394e-02	7.856214366244983e-01	9.744020626482793e-01	-7.658835316629571e-03	2.388145243776143e+00	7.135340321561998e-01	9.082415510732126e-01	1.099951619068100e+00	-6.394329639370540e-01	
64	2.684499919410000e-01	-5.977765596976551e-02	7.891987126801333e-01	9.749787032129595e-01	-1.463817147073353e-02	2.397682222892947e+00	7.181202032223767e-01	9.099358522565597e-01	1.094682808339989e+00	-6.291959749500521e-01	
65	2.545700073240000e-01	-5.951657836311273e-02	7.925510836245696e-01	9.754916837738279e-01	-2.187569713496576e-02	2.406636037669719e+00	7.224017446954047e-01	9.114891893045541e-01	1.089847426405746e+00	-6.196389627334715e-01	
66	2.409400045870000e-01	-5.915585896897953e-02	7.961027065964303e-01	9.759489990173227e-01	-2.953095198984321e-02	2.416116906422804e+00	7.269428598919954e-01	9.131269795575584e-01	1.084743718729430e+00	-6.095025448839390e-01	
67	2.275699973110000e-01	-5.869456802648413e-02	8.000897556439742e-01	9.763264258252601e-01	-3.759336082599597e-02	2.426736233970930e+00	7.320646289241097e-01	9.149781305909706e-01	1.078968261889880e+00	-5.980700247229693e-01	
68	2.144699990750000e-01	-5.813197420944613e-02	8.044891618326399e-01	9.766427024131973e-01	-4.606859057689133e-02	2.438446242050636e+00	7.377237642103041e-01	9.170089532713618e-01	1.072623558013374e+00	-5.854380263162856e-01	
69	2.016600072380000e-01	-5.746811193675738e-02	8.091789341884839e-01	9.768289842146842e-01	-5.496148361643755e-02	2.450910610249120e+00	7.437748845303230e-01	9.191723277821691e-01	1.065854281434859e+00	-5.719310613162433e-01	
70	1.891400069000000e-01	-5.670228146432130e-02	8.141862160422457e-01	9.768883189078700e-01	-6.430932210150356e-02	2.464208024462017e+00	7.502465350676145e-01	9.214679888767444e-01	1.058658875210467e+00	-5.574854127955033e-01	
71	1.769299954180000e-01	-5.583513598033686e-02	8.196998569113000e-01	9.767808856579593e-01	-7.417537519141541e-02	2.478827081601374e+00	7.573956484555965e-01	9.239914367065147e-01	1.050734330632289e+00	-5.415275704116150e-01	
72	1.650400012730000e-01	-5.486709202536137e-02	8.259371859027328e-01	9.764884141805035e-01	-8.460890968604280e-02	2.495341385817752e+00	7.655066868204083e-01	9.268340255000446e-01	1.041787702597424e+00	-5.234225740615885e-01	
73	1.534900069240000e-01	-5.379977779145956e-02	8.328972096489700e-01	9.759337214604580e-01	-9.562823647451621e-02	2.513735305535397e+00	7.745913464202152e-01	9.299963278141753e-01	1.031808831590394e+00	-5.031443160263054e-01	
74	1.422899961470000e-01	-5.263443049277360e-02	8.404232266560355e-01	9.750737244040455e-01	-1.072554386835575e-01	2.533597804049896e+00	7.844420004958383e-01	9.333892443894716e-01	1.021070140913706e+00	-4.811562488932180e-01	
75	1.314399987460000e-01	-5.137133628795417e-02	8.483437568711166e-01	9.737726443615009e-01	-1.195397558986220e-01	2.554449038651163e+00	7.948614803645946e-01	9.369568337441692e-01	1.009740699257676e+00	-4.578984813290299e-01	
76	1.209499984980000e-01	-5.001187382363489e-02	8.567240962044304e-01	9.720412789926296e-01	-1.325790595731701e-01	2.576482876392955e+00	8.059137095640162e-01	9.406922405176641e-01	9.978341881522528e-01	-4.332283268660353e-01	
77	1.108499988910000e-01	-4.856066993422563e-02	8.657494034594577e-01	9.697996554981796e-01	-1.464308274273492e-01	2.600181042332728e+00	8.178479821990754e-01	9.446705697180129e-01	9.851006285006454e-01	-4.065893254484924e-01	
78	1.011300012470000e-01	-4.701715290498424e-02	8.754540240234298e-01	9.668105335438120e-01	-1.611521755038304e-01	2.625583169442747e+00	8.307602617531579e-01	9.489479046942212e-01	9.713453894087066e-01	-3.777672728724155e-01	
79	9.181000292300000e-02	-4.538527151431038e-02	8.858541754929344e-01	9.629320331630251e-01	-1.768564687230661e-01	2.652720587492931e+00	8.446832470120329e-01	9.535240340680318e-01	9.565500028647642e-01	-3.466891807767123e-01	
80	8.290000259900000e-02	-4.366791468532204e-02	8.970418543704151e-01	9.580928862807729e-01	-1.936485964181930e-01	2.681852853158661e+00	8.597205886590085e-01	9.583951790771232e-01	9.407041806811888e-01	-3.131236860289990e-01	
81	7.440000027400000e-02	-4.186607976498817e-02	9.090505695716182e-01	9.520195256249150e-01	-2.116274002560506e-01	2.713029890901366e+00	8.759546574715675e-01	9.635928811797052e-01	9.236777427059459e-01	-2.768869252866796e-01	
82	6.633000075800000e-02	-3.998513962421356e-02	9.220048766941786e-01	9.444790925551028e-01	-2.309377309833171e-01	2.746569918224373e+00	8.935589886407334e-01	9.691477900253229e-01	9.053350921028120e-01	-2.375915432126488e-01	
83	5.869000032500000e-02	-3.802635805630503e-02	9.359939904448547e-01	9.350986205495253e-01	-2.517064830625854e-01	2.782669492794088e+00	9.126892491050212e-01	9.751016122136029e-01	8.854929942769358e-01	-1.948900689620061e-01	
84	5.149000138000000e-02	-3.599337852580232e-02	9.511787896539826e-01	9.234236294945950e-01	-2.740523353762467e-01	2.821712001082527e+00	9.335972118269475e-01	9.815160114814686e-01	8.638851957357891e-01	-1.482205093148492e-01	
85	4.473999887700000e-02	-3.389028465845557e-02	9.677992838115385e-01	9.088083221173962e-01	-2.981033632783195e-01	2.864267842195444e+00	9.566600489438114e-01	9.884901393769827e-01	8.400926042092386e-01	-9.674096217899240e-02	
86	3.844000026600000e-02	-3.171811260404538e-02	9.860437307403673e-01	8.904396032847433e-01	-3.239622009345903e-01	2.910761730101560e+00	9.821962993310752e-01	9.960981128023570e-01	8.137421615929414e-01	-3.974040327884996e-02	
87	3.260000050100000e-02	-2.948109446637338e-02	1.006232767654988e+00	8.673954785529061e-01	-3.516462426862527e-01	2.961990190852339e+00	1.010675331247142e+00	1.004415045638503e+00	7.844051024655172e-01	2.382886439094131e-02	
